"id","name","short_name","code","status","created_at","updated_at","service_url","agent_app_url","dark_background_logo_url","light_background_logo_url","logomark_url","egate_reentry_window_minutes","reentry_window_minutes","reentry_window_type","reports_deduping_window_minutes","partner_company_group_id","place_policy"
37,"QATest","QAT","QA","DELETED","2025-06-10 20:54:29.837","2025-06-16 22:53:44.455",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
38,"QATest","QAT","QA","DELETED","2025-06-10 20:56:05.846","2025-06-16 23:01:04.014",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
39,"QATest","QAT","QA","DELETED","2025-06-10 20:57:13.199","2025-06-17 00:37:11.504",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
40,"QATaci","QATa","QT","DELETED","2025-06-10 20:57:51.323","2025-06-17 10:08:48.256",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
41,"QATest","QAT","QA","DELETED","2025-06-10 20:58:18.893","2025-06-10 21:06:48.68",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
42,"QATest","QAT","QA","DELETED","2025-06-10 20:58:53.912","2025-06-10 21:06:51.446",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
43,"QATest","QAT","QA","DELETED","2025-06-10 20:59:49.417","2025-06-10 21:06:53.965",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
44,"QATest","QAT","QA","DELETED","2025-06-10 20:59:54.443","2025-06-10 21:06:55.995",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
45,"QATest","QAT","QA","DELETED","2025-06-10 21:00:55.875","2025-06-10 21:06:57.772",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
46,"QATest","QAT","QA","DELETED","2025-06-10 21:03:16.305","2025-06-10 21:06:59.811",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
47,"QATest","QAT","QA","DELETED","2025-06-10 21:03:58.282","2025-06-10 21:07:01.621",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
48,"QATest","QAT","QA","DELETED","2025-06-10 21:04:38.685","2025-06-10 21:07:04.047",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
49,"QATest","QAT","QA","DELETED","2025-06-10 21:05:57.087","2025-06-10 21:07:06.571",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
50,"QATest","QAT","QA","DELETED","2025-06-10 21:06:06.036","2025-06-10 21:07:08.941",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
51,"QATest","QAT","QA","DELETED","2025-06-10 21:06:12.383","2025-06-12 18:03:08.539",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
52,"QATest","QAT","QA","DELETED","2025-06-10 21:07:43.066","2025-06-12 18:03:16.383",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
53,"QATest","QAT","QA","DELETED","2025-06-10 21:08:04.037","2025-06-12 16:42:05.509",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
54,"QATest","QAT","QA","DELETED","2025-06-10 21:08:13.812","2025-06-12 16:08:08.515",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
55,"QATest","QAT","QA","DELETED","2025-06-10 21:08:19.09","2025-06-12 16:08:10.388",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
56,"QATest","QAT","QA","DELETED","2025-06-11 11:20:48.847","2025-06-12 16:08:12.107",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
57,"QATest","QAT","QA","DELETED","2025-06-11 12:46:59.274","2025-06-11 14:27:37.206",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
58,"QATest","QAT","QA","DELETED","2025-06-11 12:52:13.621","2025-06-11 14:27:34.875",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
59,"hh","hhh","HH","DELETED","2025-06-11 14:22:42.032","2025-06-11 14:27:32.763",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
60,"QATest","QAT","QA","DELETED","2025-06-11 16:49:56.353","2025-06-12 16:08:14.204",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
61,"QATest","QAT","QA","DELETED","2025-06-11 20:05:27.602","2025-06-12 16:08:16.133",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
62,"QATest","QAT","QA","DELETED","2025-06-12 00:36:13.628","2025-06-12 16:08:17.878",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
300,"QATest","QAT","QA","DELETED","2025-06-12 10:08:01.754","2025-06-12 16:08:20.047",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
301,"QATest","QAT","QA","DELETED","2025-06-12 14:22:12.33","2025-06-12 16:08:04.665",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
302,"QATest","QAT","QA","DELETED","2025-06-12 16:34:23.535","2025-06-12 18:03:10.439",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
303,"QATest","QAT","QA","DELETED","2025-06-12 16:46:51.145","2025-06-12 18:03:12.71",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
304,"QATest","QAT","QA","DELETED","2025-06-12 19:48:29.999","2025-06-17 12:31:59.863",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
305,"QATest","QAT","QA","DELETED","2025-06-12 19:56:04.412","2025-06-17 12:44:19.069",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
306,"QATest","QAT","QA","DELETED","2025-06-12 20:06:13.989","2025-06-17 12:52:18.29",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
307,"QATest","QAT","QA","DELETED","2025-06-12 20:07:23.375","2025-06-17 13:25:40.854",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
308,"QATest","QAT","QA","DELETED","2025-06-13 00:36:51.118","2025-06-17 14:28:47.313",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
309,"QATest","QAT","QA","DELETED","2025-06-13 10:08:03.763","2025-06-17 16:22:13.526",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
310,"QATest","QAT","QA","DELETED","2025-06-16 20:06:07.852","2025-06-17 16:33:08.844",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
311,"QATest","QAT","QA","DELETED","2025-06-16 22:28:08.262","2025-06-17 16:53:19.969",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
312,"QATest","QAT","QA","DELETED","2025-06-16 22:53:14.118","2025-06-17 17:10:36.582",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
313,"QATest","QAT","QA","DELETED","2025-06-16 23:00:32.928","2025-06-17 17:22:05.281",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
314,"QATest","QAT","QA","DELETED","2025-06-17 00:36:41.396","2025-06-17 17:34:58.619",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
315,"QATest","QAT","QA","DELETED","2025-06-17 10:08:17.611","2025-06-17 20:08:01.36",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
316,"QATest","QAT","QA","DELETED","2025-06-17 12:31:29.3","2025-06-17 20:39:51.046",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
317,"QATest","QAT","QA","DELETED","2025-06-17 12:43:47.667","2025-06-17 21:06:23.102",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
318,"QATest","QAT","QA","DELETED","2025-06-17 12:51:47.452","2025-06-18 17:05:54.378",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
319,"QATest","QAT","QA","DELETED","2025-06-17 13:25:10.169","2025-06-18 19:30:22.174",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
320,"QATest","QAT","QA","DELETED","2025-06-17 14:28:13.735","2025-06-18 19:43:54.586",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
321,"QATest","QAT","QA","DELETED","2025-06-17 16:21:42.142","2025-06-18 19:56:14.33",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
322,"QATest","QAT","QA","DELETED","2025-06-17 16:32:38.342","2025-06-18 20:08:12.838",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
323,"QATest","QAT","QA","DELETED","2025-06-17 16:52:47.943","2025-06-18 20:09:40.744",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
324,"QATest","QAT","QA","DELETED","2025-06-17 17:10:05.97","2025-06-18 20:57:09.898",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
325,"QATest","QAT","QA","DELETED","2025-06-17 17:21:35.175","2025-06-19 18:13:21.567",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
326,"QATest","QAT","QA","DELETED","2025-06-17 17:34:27.481","2025-06-19 19:29:34.912",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
327,"QATest","QAT","QA","DELETED","2025-06-17 20:07:30.597","2025-06-19 20:07:31.67",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
328,"QATest","QAT","QA","DELETED","2025-06-17 20:39:20.825","2025-06-20 16:59:47.182",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
329,"QATest","QAT","QA","DELETED","2025-06-17 21:05:52.163","2025-06-20 20:07:30.923",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
330,"QATest","QAT","QA","DELETED","2025-06-18 17:05:11.537","2025-06-21 20:06:48.853",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
331,"QATest","QAT","QA","DELETED","2025-06-18 19:29:51.279","2025-06-22 01:06:10.982",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
332,"QATest","QAT","QA","DELETED","2025-06-18 19:43:17.846","2025-06-22 01:17:38.981",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
333,"QATest","QAT","QA","DELETED","2025-06-18 19:55:44.045","2025-06-22 01:28:53.238",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
334,"QATest","QAT","QA","DELETED","2025-06-18 20:07:41.795","2025-06-22 01:37:30.706",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
335,"QATest","QAT","QA","DELETED","2025-06-18 20:09:09.215","2025-06-22 20:07:15.737",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
336,"QATest","QAT","QA","DELETED","2025-06-18 20:56:38.559","2025-06-23 02:54:52.855",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
337,"QATest","QAT","QA","DELETED","2025-06-19 18:12:51.124","2025-06-23 03:16:06.166",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
338,"QATest","QAT","QA","DELETED","2025-06-19 19:29:04.106","2025-06-23 12:21:42.103",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
339,"QATest","QAT","QA","DELETED","2025-06-19 20:07:00.293","2025-06-23 20:07:36.418",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
340,"QATest","QAT","QA","DELETED","2025-06-20 16:59:16.981","2025-06-24 20:07:48.127",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
341,"QATest","QAT","QA","DELETED","2025-06-20 20:06:59.19","2025-06-24 15:49:43.818",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
342,"QATest","QAT","QA","DELETED","2025-06-21 20:06:18.994","2025-06-24 15:49:46.028",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
343,"QATest","QAT","QA","DELETED","2025-06-22 01:05:40.742","2025-06-24 15:49:48.566",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
344,"QATest","QAT","QA","DELETED","2025-06-22 01:17:08.449","2025-06-24 15:49:50.863",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
345,"QATest","QAT","QA","DELETED","2025-06-22 01:28:22.628","2025-06-24 15:49:53.432",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
346,"QATest","QAT","QA","DELETED","2025-06-22 01:36:59.132","2025-06-24 15:49:55.962",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
347,"QATest","QAT","QA","DELETED","2025-06-22 20:06:44.251","2025-06-24 15:49:58.823",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
348,"QATest","QAT","QA","DELETED","2025-06-23 02:54:22.522","2025-06-24 15:50:02.409",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
349,"QATest","QAT","QA","DELETED","2025-06-23 03:15:34.354","2025-06-24 15:50:05.962",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
350,"Company Test 1","c1","C1","DELETED","2025-06-23 17:32:49.444","2025-06-25 18:24:55.733",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
351,"QATest","QAT","QA","DELETED","2025-06-23 20:07:05.155","2025-06-24 15:50:10.782",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
352,"J Ailines","AJL","AJ","DELETED","2025-06-24 15:49:27.538","2025-06-25 19:15:11.176",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
353,"AJ Airlines","AJA","AJ","DELETED","2025-06-24 16:02:28.995","2025-06-25 19:15:17.385",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
354,"sss","ss","SS","DELETED","2025-06-24 16:25:54.847","2025-06-25 19:15:22.921",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
355,"QATest","QAT","QA","DELETED","2025-06-24 20:07:13.945","2025-06-25 19:15:29.782",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
356,"tttttt","ttt","TT","DELETED","2025-06-25 13:12:05.063","2025-06-25 19:15:34.548",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
357,"QATest","QAT","QA","DELETED","2025-06-25 14:35:21.913","2025-06-25 19:15:41.103",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
358,"QATest","QAT","QA","DELETED","2025-06-25 14:40:49.934","2025-06-25 18:03:07.366",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
359,"QATest","QAT","QA","DELETED","2025-06-25 14:41:27.998","2025-06-25 18:03:24.012",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
360,"QATest","QAT","QA","DELETED","2025-06-25 18:21:00.736","2025-06-25 20:07:34.224",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
361,"QATest","QAT","QA","DELETED","2025-06-25 18:24:23.672","2025-06-26 13:23:28.686",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
362,"ffff","ffff","FF","DELETED","2025-06-25 18:28:45.584","2025-06-25 19:15:52.313",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
363,"TestTest","TST","TT","DELETED","2025-06-25 19:17:33.194","2025-06-25 19:18:04.385",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
364,"TesteTeste","TST","TT","DELETED","2025-06-25 19:29:51.184","2025-06-26 19:22:03.464",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
365,"QATest","QAT","QA","DELETED","2025-06-25 20:07:01.916","2025-06-26 19:33:49.572",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
366,"QATest","QAT","QA","DELETED","2025-06-26 13:22:57.326","2025-06-26 19:37:20.678",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
367,"QATest","QAT","QA","DELETED","2025-06-26 19:21:32.187","2025-06-26 23:03:08.137",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
368,"QATest","QAT","QA","DELETED","2025-06-26 19:33:17.877","2025-06-27 23:03:04.582",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
369,"QATest","QAT","QA","DELETED","2025-06-26 19:36:48.765","2025-06-28 23:02:57.586",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SAME_DAY",NULL,NULL,"TIER"
